,ticker,predict,real
2024-01-10,IR,0.0006932071394794675,0.005271
2024-01-11,IR,0.0005281321277502423,0.017817
2024-01-12,IR,0.0009194070506740634,-0.00858
2024-01-16,IR,0.00018104226848360424,0.010631
2024-01-17,IR,0.00017406076961567723,0.003758
2024-01-18,IR,0.00043776460867107024,0.005401
2024-01-19,IR,0.0006548908591402472,0.003945
2024-01-22,IR,6.0690742386464786e-05,0.00405
2024-01-23,IR,-6.547841876534732e-06,-0.003898
2024-01-24,IR,4.056374044306751e-05,-0.011411
2024-01-25,IR,0.00043609831777611775,-0.001134
2024-01-26,IR,0.0006946302824121016,-0.000756
2024-01-29,IR,0.00023075701045890615,0.017704
2024-01-30,IR,0.0004331927472845773,0.005739
2024-01-02,GNRC,0.0001902079548143439,0.000707
2024-01-03,GNRC,8.856493924872245e-05,-0.044228
2024-01-04,GNRC,0.0002446257518886239,-0.025793
2024-01-05,GNRC,0.00010983944375130933,0.020387
2024-01-08,GNRC,-0.0019629108484251817,0.022481
2024-01-09,GNRC,0.0009648028265056723,0.035391
2024-01-10,GNRC,0.0007270448313333434,0.005987
2024-01-11,GNRC,0.0008703047227358048,-0.007875
2024-01-12,GNRC,-0.0006626593427637214,0.001378
2024-01-16,GNRC,-0.00016482243151914677,-0.041261
2024-01-17,GNRC,0.0010746591007087065,0.002101
2024-01-18,GNRC,-0.0019679900658321273,0.003203
2024-01-19,GNRC,0.0011554933650856532,0.00404
2024-01-22,GNRC,-0.0011551533537629347,-0.009111
2024-01-23,GNRC,0.001312121366743132,-0.015852
2024-01-24,GNRC,0.0005188743321835922,-0.045221
2024-01-25,GNRC,0.00012619572287038297,-0.00122
2024-01-26,GNRC,-0.0006796115592210261,-0.001915
2024-01-29,GNRC,4.567388116124015e-05,0.013355
2024-01-30,GNRC,0.0008335199507935569,0.004074
2024-01-02,CTAS,-6.827373906077352e-05,-0.014928
2024-01-03,CTAS,0.00023985404480384259,-0.019234
2024-01-04,CTAS,0.00048116818221858936,0.00497
2024-01-05,CTAS,0.0007578392294398514,-0.008792
2024-01-08,CTAS,0.0009442031326800649,0.010553
2024-01-09,CTAS,0.0011278175259480958,0.010284
2024-01-10,CTAS,0.00066801178735634,0.005051
2024-01-11,CTAS,0.0004851217297760856,0.000153
2024-01-12,CTAS,0.0005865703658557238,0.003248
2024-01-16,CTAS,4.530601648070555e-05,-0.004415
2024-01-17,CTAS,0.00014435952498774614,0.005086
2024-01-18,CTAS,0.0004605209525034187,0.006334
2024-01-19,CTAS,0.0005743572334310397,0.00806
2024-01-22,CTAS,8.16101427186672e-05,-0.002868
2024-01-23,CTAS,8.596410410865919e-05,-0.001489
2024-01-24,CTAS,-0.0002073428113385333,-0.011702
2024-01-25,CTAS,0.00044237785176166053,-0.000584
2024-01-26,CTAS,0.0007466529256005856,-0.00587
2024-01-29,CTAS,0.0003159731333827901,0.010932
2024-01-30,CTAS,0.0005059031595046147,0.016717
2024-01-02,CPRT,0.00016462612391168627,-0.026434
2024-01-03,CPRT,0.001634999333384044,-0.009099
2024-01-04,CPRT,0.0006784143899400477,-0.001712
2024-01-05,CPRT,6.594490885970886e-06,0.0
2024-01-08,CPRT,0.00048357764536350174,0.018283
2024-01-09,CPRT,0.000400912242926892,0.008748
2024-01-10,CPRT,0.00023790020286943098,0.010542
2024-01-11,CPRT,0.0006931316257991076,-0.00375
2024-01-12,CPRT,0.0005779136727820855,-0.008339
2024-01-16,CPRT,0.00016479201639381128,0.010762
2024-01-17,CPRT,0.00032584314196685833,0.000419
2024-01-18,CPRT,0.00044105197813541736,0.008162
2024-01-19,CPRT,0.0005698062734919796,0.00849
2024-01-22,CPRT,0.00017457828015026065,0.009794
2024-01-23,CPRT,-0.00036903450926654264,0.002429
2024-01-24,CPRT,1.8039328251097935e-05,-0.023092
2024-01-25,CPRT,0.0010255791130889126,0.000613
2024-01-26,CPRT,0.001897033402877328,-0.019184
2024-01-29,CPRT,5.866373134410773e-05,0.01714
2024-01-30,CPRT,0.0011800642354422245,0.010737
2024-01-02,TDG,6.759946306425425e-05,-0.013365
2024-01-03,TDG,0.000639836441716648,-0.015358
2024-01-04,TDG,0.0012963679609924825,-0.002413
2024-01-05,TDG,0.0007854990983306491,0.001156
2024-01-08,TDG,0.0002520444805987904,0.022749
2024-01-09,TDG,0.0008089267022607476,0.011305
2024-01-10,TDG,0.0004921172104870524,0.009137
2024-01-11,TDG,0.00011408659505803208,0.004749
2024-01-12,TDG,0.0006076657766851818,0.005559
2024-01-16,TDG,-0.0003794046757939314,-0.001788
2024-01-17,TDG,-0.00018758331913594538,0.006576
2024-01-18,TDG,0.0005314779799362856,0.016694
2024-01-19,TDG,0.0005307237320566668,-0.0012
2024-01-22,TDG,0.0002901707246295615,0.013096
2024-01-23,TDG,0.0001884049360829936,0.001139
2024-01-24,TDG,3.987211869983829e-05,-0.012448
